title,pubDate,guid,link,description
The Fed’s Newfound Aggressiveness Is Concerning,"Fri, 17 Jun 2022 19:00:05 +0000",https://www.nytimes.com/2022/06/17/opinion/inflation-interest-rate-recession.html,https://www.nytimes.com/2022/06/17/opinion/inflation-interest-rate-recession.html,Its fight against inflation could very well cause a recession.
What if We Had Spent the Money on Climate?,"Wed, 15 Jun 2022 18:53:39 +0000",https://www.nytimes.com/2022/06/15/opinion/environment/covid-money-climate-change.html,https://www.nytimes.com/2022/06/15/opinion/environment/covid-money-climate-change.html,"Along with everything else, the pandemic was a huge missed opportunity."
The Stock Market Is Plummeting. Welcome to the End of the ‘Everything Bubble.’,"Fri, 17 Jun 2022 15:16:49 +0000",https://www.nytimes.com/2022/06/17/opinion/ezra-klein-podcast-rana-foroohar.html,https://www.nytimes.com/2022/06/17/opinion/ezra-klein-podcast-rana-foroohar.html,The financial journalist Rana Foroohar shares her long view on what’s going on with the economy.
Gloria Steinem on 50 Years of Ms. Magazine and the Feminist Movement,"Thu, 16 Jun 2022 19:11:53 +0000",https://www.nytimes.com/2022/06/16/opinion/gloria-steinem-ms-magazine-feminism.html,https://www.nytimes.com/2022/06/16/opinion/gloria-steinem-ms-magazine-feminism.html,Early contributors to Ms. came together on the 50th anniversary of its founding.
Sometimes ‘Proper’ Speech Isn’t Correct Speech,"Fri, 17 Jun 2022 19:50:30 +0000",https://www.nytimes.com/2022/06/17/opinion/proper-speech.html,https://www.nytimes.com/2022/06/17/opinion/proper-speech.html,Contractions can be frowned upon. We’re gonna wanna rethink that.
What Is Golf’s Problem? Sellout Culture.,"Fri, 17 Jun 2022 18:37:05 +0000",https://www.nytimes.com/2022/06/16/opinion/golf-saudi-arabia.html,https://www.nytimes.com/2022/06/16/opinion/golf-saudi-arabia.html,The Bone Saw Tour is a symptom of broader corruption.
Summer Begins,"Sat, 18 Jun 2022 11:14:34 +0000",https://www.nytimes.com/2022/06/18/briefing/summer-begins.html,https://www.nytimes.com/2022/06/18/briefing/summer-begins.html,"The season is almost here, finally, with all its sun-dappled splendor and glorious clichés."
How Houston Is Overhauling Homelessness and More: The Week in Narrated Articles,"Fri, 17 Jun 2022 14:32:33 +0000",https://www.nytimes.com/2022/06/17/podcasts/narrated-articles.html,https://www.nytimes.com/2022/06/17/podcasts/narrated-articles.html,"Five articles from around The Times, narrated just for you."
The Voice Notes We Shared,"Thu, 16 Jun 2022 14:40:57 +0000",https://www.nytimes.com/2022/06/16/podcasts/still-processing-friendship-magic.html,https://www.nytimes.com/2022/06/16/podcasts/still-processing-friendship-magic.html,Two culture writers discuss the antidote to loneliness (spoiler alert: it involves water). Listen to our season finale.
"Erling Haaland, Darwin Núñez and Rediscovering the No. 9","Fri, 17 Jun 2022 16:20:10 +0000",https://www.nytimes.com/2022/06/17/sports/soccer/erling-haaland-darwin-nunez.html,https://www.nytimes.com/2022/06/17/sports/soccer/erling-haaland-darwin-nunez.html,The signings of Erling Haaland and Darwin Núñez were not mere summer coups for Manchester City and Liverpool. They could signal the start of a new tactical phase.
