title,pubDate,guid,link,description
Rory McIlroy: LIV Golf players doing it for 'boatloads of cash',"Wed, 08 Jun 2022 20:50:23 GMT",https://www.bbc.co.uk/sport/golf/61740384,https://www.bbc.co.uk/sport/golf/61740384?at_medium=RSS&at_campaign=KARANGA,"The golfers playing in the inaugural Saudi-funded LIV Golf event this week are doing it for ""boatloads of cash"", says Rory McIlroy."
'Would you play for Vladimir Putin?' Ian Poulter & Lee Westwood face tough questions,"Wed, 08 Jun 2022 15:52:36 GMT",https://www.bbc.co.uk/sport/av/golf/61738171,https://www.bbc.co.uk/sport/av/golf/61738171?at_medium=RSS&at_campaign=KARANGA,Ian Poulter and Lee Westwood refuse to answer hypothetical questions on whether they would play in Russia or South Africa during apartheid at a media event for the LIV Golf tournament in London.
England v New Zealand: The five factors behind Kiwis' Test transformation,"Wed, 08 Jun 2022 23:01:09 GMT",https://www.bbc.co.uk/sport/cricket/61710540,https://www.bbc.co.uk/sport/cricket/61710540?at_medium=RSS&at_campaign=KARANGA,There are five major factors behind New Zealand remarkable rise in the world of Test cricket. England have been paying attention.
Emma Raducanu: British number one expected to be fit for Wimbledon,"Wed, 08 Jun 2022 17:19:58 GMT",https://www.bbc.co.uk/sport/tennis/61739133,https://www.bbc.co.uk/sport/tennis/61739133?at_medium=RSS&at_campaign=KARANGA,Emma Raducanu is expected to be fit for Wimbledon after a scan shows the injury which forced her to retire at the Nottingham Open was a side strain.
Rwanda asylum flight cancelled after legal action,"Wed, 15 Jun 2022 01:45:39 GMT",https://www.bbc.co.uk/news/uk-61806383,https://www.bbc.co.uk/news/uk-61806383?at_medium=RSS&at_campaign=KARANGA,"Priti Patel says preparation for the next flight ""begins now"" after the last-minute grounding."
Chris Mason on where the Rwanda setback leaves ministers,"Tue, 14 Jun 2022 22:25:58 GMT",https://www.bbc.co.uk/news/uk-politics-61805819,https://www.bbc.co.uk/news/uk-politics-61805819?at_medium=RSS&at_campaign=KARANGA,The government seems determined to press ahead with its plans despite last-minute legal interventions.
Millions to get first cost-of-living payment from 14 July,"Tue, 14 Jun 2022 21:41:03 GMT",https://www.bbc.co.uk/news/business-61802109,https://www.bbc.co.uk/news/business-61802109?at_medium=RSS&at_campaign=KARANGA,More than eight million UK homes will get the first of two cost-of-living payments totalling £650.
"Climate change: Rising sea levels threaten 200,000 England properties","Wed, 15 Jun 2022 00:30:51 GMT",https://www.bbc.co.uk/news/science-environment-61795783,https://www.bbc.co.uk/news/science-environment-61795783?at_medium=RSS&at_campaign=KARANGA,A report indicates that lots of houses in England could be lost to flooding in the coming decades.
Airlines told to cancel flights to stop travel chaos,"Tue, 14 Jun 2022 21:43:14 GMT",https://www.bbc.co.uk/news/business-61754664,https://www.bbc.co.uk/news/business-61754664?at_medium=RSS&at_campaign=KARANGA,Ministers says airlines must ensure summer schedules are deliverable to prevent more travel disruption.
Missguided shoppers will not get refunds for returns,"Tue, 14 Jun 2022 23:01:00 GMT",https://www.bbc.co.uk/news/business-61784199,https://www.bbc.co.uk/news/business-61784199?at_medium=RSS&at_campaign=KARANGA,Out-of-pocket shoppers will have to rely on their credit card or payment provider to reclaim money.
Cancer: High Street pharmacists to make referrals,"Tue, 14 Jun 2022 23:13:09 GMT",https://www.bbc.co.uk/news/health-61796834,https://www.bbc.co.uk/news/health-61796834?at_medium=RSS&at_campaign=KARANGA,Hundreds of pharmacists in England are being given powers to send patients for cancer scans and tests.
Dom Phillips and Bruno Pereira: Police arrest second suspect,"Wed, 15 Jun 2022 02:59:23 GMT",https://www.bbc.co.uk/news/world-latin-america-61806773,https://www.bbc.co.uk/news/world-latin-america-61806773?at_medium=RSS&at_campaign=KARANGA,"Two brothers are being investigated in the hunt for Dom Phillips and Bruno Pereira, local reports say."
Tom Rice: South Carolina ousts Republican who voted to impeach Trump,"Wed, 15 Jun 2022 03:59:36 GMT",https://www.bbc.co.uk/news/world-us-canada-61807281,https://www.bbc.co.uk/news/world-us-canada-61807281?at_medium=RSS&at_campaign=KARANGA,"Tom Rice had acknowledged he could be politically doomed, but maintained he was following his conscience."
Digital News Report: Depressing stories turning more people off,"Wed, 15 Jun 2022 01:12:00 GMT",https://www.bbc.co.uk/news/entertainment-arts-61797444,https://www.bbc.co.uk/news/entertainment-arts-61797444?at_medium=RSS&at_campaign=KARANGA,"Almost four in 10 say they often or sometimes avoid the news, new research suggests."
People in Pakistan urged to drink fewer cups of tea,"Tue, 14 Jun 2022 21:03:56 GMT",https://www.bbc.co.uk/news/world-asia-61805848,https://www.bbc.co.uk/news/world-asia-61805848?at_medium=RSS&at_campaign=KARANGA,"Reducing consumption by one to two cups every day would help the economy, a senior minister says."
Netflix plans real-life Squid Game reality TV show with $4.56m prize,"Wed, 15 Jun 2022 01:46:33 GMT",https://www.bbc.co.uk/news/business-61793204,https://www.bbc.co.uk/news/business-61793204?at_medium=RSS&at_campaign=KARANGA,It will see 456 contestants compete in a series of challenges inspired by the dystopian drama.
"Dog health: Don't buy a bulldog until breed is reshaped, vets plead","Wed, 15 Jun 2022 00:37:18 GMT",https://www.bbc.co.uk/news/science-environment-61799718,https://www.bbc.co.uk/news/science-environment-61799718?at_medium=RSS&at_campaign=KARANGA,A study finds the English bulldog has double the health risks of other dogs.
The papers: 'Rwandan air farce' as court grounds asylum jet,"Wed, 15 Jun 2022 04:53:04 GMT",https://www.bbc.co.uk/news/blogs-the-papers-61806351,https://www.bbc.co.uk/news/blogs-the-papers-61806351?at_medium=RSS&at_campaign=KARANGA,The front pages focus on the dramatic last-minute halting of the government's deportation flight.
Lady Evelyn Cobbold - why are Muslim pilgrims visiting her Scottish grave?,"Tue, 14 Jun 2022 21:55:29 GMT",https://www.bbc.co.uk/news/uk-scotland-highlands-islands-61759796,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-61759796?at_medium=RSS&at_campaign=KARANGA,Muslim converts from across the UK travelled to pay their respects at a burial site in Wester Ross.
CEO Secrets: 'Don't treat your business like your baby',"Tue, 14 Jun 2022 23:03:22 GMT",https://www.bbc.co.uk/news/business-61792300,https://www.bbc.co.uk/news/business-61792300?at_medium=RSS&at_campaign=KARANGA,"Liz Jackson MBE started her career as an entrepreneur, creating her own marketing company, aged 25."
Food waste: Fruit and vegetables saved from farms,"Tue, 14 Jun 2022 23:47:09 GMT",https://www.bbc.co.uk/news/science-environment-61804252,https://www.bbc.co.uk/news/science-environment-61804252?at_medium=RSS&at_campaign=KARANGA,"Across the UK, volunteer harvesters are helping to fight food waste by sending produce to food banks."
BTS announce break to grow and pursue solo projects,"Tue, 14 Jun 2022 22:56:28 GMT",https://www.bbc.co.uk/news/entertainment-arts-61803343,https://www.bbc.co.uk/news/entertainment-arts-61803343?at_medium=RSS&at_campaign=KARANGA,The K-pop group tell fans their goal is to grow as individuals and pursue solo projects.
Lightyear: Toy Story spin-off film divides critics,"Tue, 14 Jun 2022 11:02:53 GMT",https://www.bbc.co.uk/news/entertainment-arts-61797198,https://www.bbc.co.uk/news/entertainment-arts-61797198?at_medium=RSS&at_campaign=KARANGA,"The Guardian said the film was ""a treat"", but the Telegraph gave it one star and called it ""half-baked""."
